Prefix	Last	First	Suffix	FilingType	StateDst	Year	Filing Year	FilingDate	DocID	DisclosureType
	BERGERON	JAMES P.		O	EE00	2013	2012	5/8/2013	8211175	FD
	BERGMANN	CHARLOTTE		O	TN09	2013	2012	12/11/2013	8213650	FD
	BERGREEN	TIMOTHY S.		O	CA28	2013	2012	5/15/2013	8211688	FD
	BERGREN	ERIC		A	KY02	2013	2012	9/27/2013	8213148	FD
	BERGREN	ERIC		O	KY02	2013	2012	5/14/2013	8211550	FD
HONORABLE	BERKLEY	SHELLEY		T	NV01	2013	2013	1/18/2013	8209694	FD
	BERKOWITZ	PAUL H.		X	CA48	2013	2012	5/17/2013	8210570	FD
	BERKOWITZ	PAUL H.		O	CA48	2013	2012	8/9/2013	8212810	FD
HONORABLE	BERMAN	HOWARD L.		T	CA30	2013	2013	2/4/2013	8209799	FD
	BERNAL	DANIEL E.		O	CA12	2013	2012	5/24/2013	9102892	FD
	BERQUAM	TAUNJA J.		O	AP00	2013	2012	5/13/2013	8211380	FD
	BERRY	TIMOTHY J.		O	MW00	2013	2012	5/15/2013	8211677	FD
	BERTRAM	CHRISTOPHER P.		N	TI00	2013	2012	3/1/2013	8209912	FD
	BERTRAM	CHRISTOPHER P.		O	TI00	2013	2012	5/15/2013	8211668	FD
	BETH	RICHARD S.		X	LC00	2013	2012	5/17/2013	8210648	FD
	BETH	RICHARD S.		A	LC00	2013	2012	6/30/2014	8215893	FD
	BETH	RICHARD S.		O	LC00	2013	2012	5/29/2013	9103112	FD
	BETZ	KIMBERLY S.		A	RC00	2013	2012	10/11/2013	8213229	FD
	BETZ	KIMBERLY S.		O	RC00	2013	2012	5/15/2013	8211681	FD
	BICKLEY	JAMES MACGILL		T	LC00	2013	2013	2/14/2013	8209864	FD
